YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2015,6,59,43,10,7029,727,Albaha,Inbound
2015,6,59,43,10,7029,727,Albaha,Inbound
2015,0,0,0,0,0,0,Albaha,Inbound
2015,0,0,0,0,0,0,Albaha,Inbound
2015,1041,8807,1120,8.5,1075,127,Albaha,Domestic
2015,947,7909,1016,8.4,1073,128,Albaha,Domestic
2015,33,269,39,8.3,1210,146,Albaha,Domestic
2015,62.4,629.1,65,10.1,1037,103,Albaha,Domestic
2016,1,2,0.4,3,720,240,Albaha,Inbound
2016,1,2,0.4,3,720,240,Albaha,Inbound
2016,0,0,0,0,0,0,Albaha,Inbound
2016,0,0,0,0,0,0,Albaha,Inbound
2016,1223,9707,1350,7.9,1104,139,Albaha,Domestic
2016,1148,9125,1269,8,1105,139,Albaha,Domestic
2016,27,276,35,10.4,1312,127,Albaha,Domestic
2016,49.3,307,47,6.2,950,152,Albaha,Domestic
2017,0,0,0,0,0,0,Albaha,Inbound
2017,0,0,0,0,0,0,Albaha,Inbound
2017,0,0,0,0,0,0,Albaha,Inbound
2017,0,0,0,0,0,0,Albaha,Inbound
2017,1106,7126,1028,6.4,929,144,Albaha,Domestic
2017,1035,6729,968,6.5,935,144,Albaha,Domestic
2017,33,122,21,3.7,646,175,Albaha,Domestic
2017,38,275,39,7.3,1029,141,Albaha,Domestic
2018,4,71,47,17,11481,664,Albaha,Inbound
2018,4,71,47,17,11481,664,Albaha,Inbound
2018,0,0,0,0,0,0,Albaha,Inbound
2018,0,0,0,0,0,0,Albaha,Inbound
2018,1235,8864,1380,7.2,1118,156,Albaha,Domestic
2018,1073,7683,1180,7.2,1100,154,Albaha,Domestic
2018,57,329,49,5.8,860,148,Albaha,Domestic
2018,105,852,151,8.1,1438,178,Albaha,Domestic
2019,3,26,15,10,5732,572,Albaha,Inbound
2019,3,26,15,10,5732,572,Albaha,Inbound
2019,0,0,0,0,0,0,Albaha,Inbound
2019,0,0,0,0,0,0,Albaha,Inbound
2019,1462,11016,1666,7.5,1140,151,Albaha,Domestic
2019,1231,8812,1364,7.2,1109,155,Albaha,Domestic
2019,114,892,123,7.8,1076,138,Albaha,Domestic
2019,117,1311,179,11.2,1530,136,Albaha,Domestic
2020,2,12,8,7,4906,698,Albaha,Inbound
2020,1,11,8,8,6014,774,Albaha,Inbound
2020,0,0,0,0,0,0,Albaha,Inbound
2020,0,1,0.1,4,399,100,Albaha,Inbound
2020,1532,11590,1545,7.6,1009,133,Albaha,Domestic
2020,1245,8760,1259,7,1011,144,Albaha,Domestic
